# BEAST v1.8.2, r6687
# Generated Thu Oct 13 01:05:53 CEST 2016 [seed=1476313552789]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(ingroup)	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
0	-149654.09183348276	-136523.67312649527	-13130.418706987502	237.04405238082762	101.11719919962935	120.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	1.2502295597513768	0.33970163576288065	0.5576706272767051	-13130.418706987502	-136284.42592999048
1000	-8707.277695560155	-1171.4076878681499	-7535.870007692006	8.642444581204739	3.327611197282546	31.542767574516652	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	5.24883279921361	1.851480329201082	0.4903263466953246	1.7275445854007838	0.0997205166600351	-7535.870007692006	-925.945453820755
2000	-6462.951940398223	-204.25677702990072	-6258.695163368322	0.877781919669802	0.3151634650187855	8.872796347297346	2.3579508189635647	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	14.779547044926636	1.8637152327774185	2.765735698370548	1.838126009331867	0.11752738315676393	-6258.695163368322	42.426882050805496
3000	-6102.074196817176	-210.59358868245795	-5891.480608134718	1.1045204540810944	0.4093447818821492	6.576660175019695	2.3579508189635647	0.24812087331016144	0.25654747629914837	0.2434525237008516	0.25187912668983853	0.5	6.424721669167148	1.80616793442192	1.2694687365747241	1.793974464265787	0.18756547452948993	-5891.480608134718	35.076815810069924
4000	-5804.111933609507	-239.64769425041874	-5564.464239359088	2.295095765657354	1.0892101641283303	3.423165033375631	2.3579508189635647	0.24812087331016144	0.25654747629914837	0.2434525237008516	0.25187912668983853	0.5	2.50143846850583	1.7266535881271587	0.5770358473815976	1.6778884580215998	0.18411687637285246	-5564.464239359088	4.837899851315912
5000	-5472.37092444177	-204.65381557096617	-5267.717108870804	1.0415117279539436	0.40021497354055957	6.99212029080357	2.3579508189635647	0.24812087331016144	0.25654747629914837	0.2434525237008516	0.25187912668983853	0.5	3.5373994641330473	1.5527136212565182	0.9894567725376577	1.403226996184618	-0.2142460247870651	-5267.717108870804	39.65717395399123
6000	-5121.561757060655	-206.84476514604688	-4914.716991914608	1.0252927071198592	0.32979276140613883	6.321343550621357	2.577059838898399	0.24812087331016144	0.2536845164700223	0.2434525237008516	0.25474208651896457	0.5	3.0822710807423825	1.7399115506067506	0.9261190404969547	1.6306261091920198	-0.07295730781647582	-4914.716991914608	37.97307132658165
7000	-4909.008676499465	-213.1364405896977	-4695.872235909767	1.099621429457801	0.49550735508145444	4.884359789867812	2.577059838898399	0.24944654797621754	0.2536845164700223	0.2434525237008516	0.2534164118529085	0.5	3.2459764430232276	1.9823866353917599	0.9305440542403346	1.7916773637190049	0.023929037586543554	-4695.872235909767	32.46068261581526
8000	-4765.966661913761	-178.2287852510848	-4587.737876662676	0.4057659249467407	0.3099895649923941	14.122689840026581	3.02455781516783	0.24320890636960088	0.2536845164700223	0.2434525237008516	0.2596540534595251	0.5	6.29800358454307	1.8635798202766036	2.22821086382556	1.6342100373294859	0.06846886048938666	-4587.737876662676	67.83997573011636
9000	-4437.524071541757	-172.93584122162503	-4264.5882303201315	0.3843061216381714	0.32249642367674014	17.343003981268787	3.698010913857115	0.24320890636960088	0.2536845164700223	0.2434525237008516	0.2596540534595251	0.5	8.72685665135518	1.9162109758610928	1.942175161332402	1.8655310404010663	-0.047716686996026755	-4264.5882303201315	73.84678713956386
