# BEAST v1.8.2, r6687
# Generated Thu Oct 13 01:06:26 CEST 2016 [seed=1476313585669]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(ingroup)	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	speciation
0	-266455.4456545549	-252791.78400595265	-13663.661648602196	610.0916783466763	237.19509718528425	120.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	-13663.661648602196	-252559.35328379984
1000	-8197.114181834513	-452.22581254688833	-7744.888369287625	4.259174078295399	2.7475993630231432	13.356462721309544	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	-7744.888369287625	-219.7950903940694
2000	-6177.125214827653	-199.03215435230135	-5978.093060475351	0.6474413897400892	0.6303316161115766	5.166803999687206	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.38496564447241577	1.0	-5978.093060475351	33.1684990894624
3000	-5273.06651896413	-180.26864231420916	-5092.797876649921	0.3660713922898679	0.3659723042602967	12.045521967460354	2.5115910297265014	0.2505749281181823	0.2499999999	0.2500000001	0.2494250718818177	0.2964530309568426	1.0	-5092.797876649921	51.95462572738117
4000	-4726.349868882491	-173.78578011887032	-4552.564088763621	0.30544489813518827	0.2820322451109921	11.408729046427313	2.980666349576355	0.2505749281181823	0.2499999999	0.2500000001	0.2494250718818177	0.2664858601185056	1.0	-4552.564088763621	58.54949982285237
5000	-4252.321441854845	-167.14454406653866	-4085.1768977883066	0.30212605075260146	0.2546759767576493	12.970791669245054	2.980666349576355	0.24738995143656797	0.2531849765816144	0.2500000001	0.2494250718818177	0.3150758442663366	1.0	-4085.1768977883066	65.28791584347971
6000	-4233.515544819058	-175.4364026562204	-4058.0791421628373	0.3970442587312108	0.36237203301832716	10.975096454524074	3.6690155204479615	0.2508599111403748	0.25847277446582256	0.24124224251198498	0.2494250718818177	0.3150758442663366	1.0	-4058.0791421628373	57.2299019011765
7000	-4211.789853143702	-177.141193914277	-4034.6486592294254	0.4140397758215784	0.3947238399152121	10.137177860582456	4.231148238659584	0.2508599111403748	0.25847277446582256	0.24238797378574156	0.24827934060806112	0.3150758442663366	1.0	-4034.6486592294254	55.701525854274706
8000	-4217.400300097134	-179.5461418526005	-4037.8541582445337	0.45797822882187006	0.411043078783403	9.846003546559215	4.231148238659584	0.2508599111403748	0.25900485195059314	0.24238797378574156	0.2477472631232905	0.27608387881098795	1.0	-4037.8541582445337	53.21859398504052
9000	-4208.206917637853	-174.36901541644414	-4033.837902221409	0.38183988148731285	0.375306942060143	11.9932452853751	3.6559449457046904	0.2508599111403748	0.2569405683218599	0.24238797378574156	0.24981154675202374	0.27608387881098795	1.0	-4033.837902221409	58.215055474092196
10000	-4204.987280481271	-175.4695937180364	-4029.5176867632345	0.4250554424905633	0.4061505642902405	10.416767340442544	3.6559449457046904	0.2508599111403748	0.2569405683218599	0.24238797378574156	0.24981154675202374	0.27486748753615114	1.0	-4029.5176867632345	57.11204438995025
11000	-4205.37853954103	-175.65272504768637	-4029.725814493343	0.3771256618805175	0.3414754043987625	18.27157016533247	3.6559449457046904	0.2508599111403748	0.2569405683218599	0.24238797378574156	0.24981154675202374	0.27486748753615114	1.0	-4029.725814493343	56.928913060300275
12000	-4198.06889889038	-178.0453347211672	-4020.0235641692134	0.4212731006874922	0.4039523369065527	11.80936213857108	3.6559449457046904	0.26357832086697286	0.2558283624417686	0.23583510590913792	0.2447582107821207	0.3496677357027572	1.0	-4020.0235641692134	54.68590388315269
13000	-4207.7018757178785	-177.91851971730486	-4029.783356000574	0.4092640224771552	0.4047616016485961	13.092033914964091	3.6559449457046904	0.2692463942063852	0.2555292605828862	0.230466134428608	0.2447582107821207	0.3496677357027572	1.0	-4029.783356000574	54.812718887015016
14000	-4200.902765857193	-183.84747152130467	-4017.0552943358884	0.4923805725874024	0.4712323687234445	9.999481556212585	4.656538044302613	0.2692463942063852	0.2555292605828862	0.230466134428608	0.2447582107821207	0.33586831183701066	1.0	-4017.0552943358884	49.162697418178794
15000	-4194.9013553574005	-178.95471937505823	-4015.9466359823423	0.4440006052948764	0.43953718919036117	12.570732728034537	4.656538044302613	0.2711167959123451	0.2587690729450717	0.22549944337889608	0.24461468776368725	0.33586831183701066	1.0	-4015.9466359823423	54.05544956442524
16000	-4192.669815467134	-187.65281360061925	-4005.017001866515	0.5568700649660221	0.49530661927555975	6.182547821421431	4.656538044302613	0.2711167959123451	0.25959644119860525	0.22549944337889608	0.24378731951015364	0.33586831183701066	1.0	-4005.017001866515	45.357355338864195
17000	-4188.790188242935	-181.7910711898256	-4006.99911705311	0.4878473610988022	0.430863375175754	11.544047205984146	3.7208385784233333	0.27441628108481164	0.25959644119860525	0.22219995820642954	0.24378731951015364	0.3398241526000147	1.0	-4006.99911705311	50.941510871298355
18000	-4182.918593927257	-181.75961696493596	-4001.1589769623206	0.490315077023748	0.44175270522446397	9.346612939652386	3.732232069169074	0.2767240191598377	0.2643018424208436	0.21518681890916513	0.24378731951015364	0.3398241526000147	1.0	-4001.1589769623206	50.97663979983287
19000	-4177.0258475874725	-178.9566785243009	-3998.0691690631716	0.4386349405428975	0.4260018818152168	12.28021264237893	3.732232069169074	0.2767240191598377	0.26082044207312977	0.21573058656227995	0.24672495220475263	0.3398241526000147	1.0	-3998.0691690631716	53.779578240467906
20000	-4177.245915693402	-175.77043252159672	-4001.475483171805	0.4048356133747206	0.4032798525644419	9.829266918802839	3.732232069169074	0.2767240191598377	0.26082044207312977	0.21573058656227995	0.24672495220475263	0.3398241526000147	1.0	-4001.475483171805	56.965824243172094
21000	-4193.218749209736	-184.04747189708866	-4009.171277312648	0.47314049729181656	0.47003456337886407	11.98054869924504	4.634127224741331	0.2767240191598377	0.26082044207312977	0.21573058656227995	0.24672495220475263	0.3398241526000147	1.0	-4009.171277312648	48.96412981684051
22000	-4177.433823704247	-176.9984475521621	-4000.4353761520842	0.4135551660079883	0.39960948822211645	11.412332709535653	4.634127224741331	0.2762884923728308	0.261096386425749	0.2064858624870149	0.25612925871440534	0.3573069092336211	1.0	-4000.4353761520842	56.04811967503426
23000	-4156.523285266203	-176.46261925094825	-3980.060666015255	0.44635398931634324	0.40645522391118805	11.80269007393736	4.634127224741331	0.2762884923728308	0.261096386425749	0.19674124098295115	0.2658738802184691	0.2722139850689533	1.0	-3980.060666015255	56.413762127918766
24000	-4172.113017266265	-184.6971634631599	-3987.415853803105	0.5393763234676797	0.515843280820714	8.928077416344646	4.09041517906146	0.2762884923728308	0.2602902347872885	0.19674124098295115	0.26668003185692957	0.2722139850689533	1.0	-3987.415853803105	48.01679260748363
25000	-4161.372992266072	-176.80540138543853	-3984.5675908806334	0.40110830101378425	0.3818501893654705	9.314786778213042	4.498892673429311	0.2762884923728308	0.2602902347872885	0.19674124098295115	0.26668003185692957	0.28567311196135425	1.0	-3984.5675908806334	56.058451047047825
26000	-4163.600061872	-179.69651794212075	-3983.903543929879	0.4474045230793646	0.42622007100765985	9.394926165322168	3.9174508228597356	0.280139872550981	0.2602902347872885	0.19674124098295115	0.2628286516787794	0.28567311196135425	1.0	-3983.903543929879	52.990448740179275
